"student";"snapshot";"datetime"
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-22T03:34:51.726Z";2020-11-22 03:34:51
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-22T04:27:18.787Z";2020-11-22 04:27:18
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-22T06:54:57.975Z";2020-11-22 06:54:57
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-22T07:40:34.953Z";2020-11-22 07:40:34
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-24T03:10:31.918Z";2020-11-24 03:10:31
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-24T03:33:46.280Z";2020-11-24 03:33:46
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-24T03:33:46.293Z";2020-11-24 03:33:46
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-24T03:33:46.306Z";2020-11-24 03:33:46
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-24T03:35:49.790Z";2020-11-24 03:35:49
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-24T03:36:58.068Z";2020-11-24 03:36:58
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-24T04:37:45.416Z";2020-11-24 04:37:45
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-24T04:59:13.350Z";2020-11-24 04:59:13
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-24T05:18:12.755Z";2020-11-24 05:18:12
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-24T06:01:25.033Z";2020-11-24 06:01:25
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-24T06:22:23.680Z";2020-11-24 06:22:23
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-25T10:19:35.046Z";2020-11-25 10:19:35
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-25T17:29:49.184Z";2020-11-25 17:29:49
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-25T18:18:31.486Z";2020-11-25 18:18:31
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-25T18:26:00.033Z";2020-11-25 18:26:00
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-25T19:04:18.952Z";2020-11-25 19:04:18
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-25T19:28:30.843Z";2020-11-25 19:28:30
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-25T20:11:51.124Z";2020-11-25 20:11:51
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-25T20:11:59.661Z";2020-11-25 20:11:59
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-25T20:22:03.575Z";2020-11-25 20:22:03
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-25T21:40:24.280Z";2020-11-25 21:40:24
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-25T21:46:15.782Z";2020-11-25 21:46:15
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-25T21:47:04.942Z";2020-11-25 21:47:04
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-26T02:42:32.681Z";2020-11-26 02:42:32
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-26T03:13:33.259Z";2020-11-26 03:13:33
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-26T04:07:34.426Z";2020-11-26 04:07:34
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-26T04:07:41.880Z";2020-11-26 04:07:41
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-26T04:21:57.314Z";2020-11-26 04:21:57
"96eef9f178b631ed0e867941742c25f4b9f65da7";"2020-11-26T04:26:27.116Z";2020-11-26 04:26:27
"9736fd16bf30e047b764208a284acb5d921d6bc2";"2020-11-26T00:46:19.437Z";2020-11-26 00:46:19
"9736fd16bf30e047b764208a284acb5d921d6bc2";"2020-11-26T01:12:30.898Z";2020-11-26 01:12:30
"9736fd16bf30e047b764208a284acb5d921d6bc2";"2020-11-26T01:17:44.837Z";2020-11-26 01:17:44
"9736fd16bf30e047b764208a284acb5d921d6bc2";"2020-11-26T01:41:28.428Z";2020-11-26 01:41:28
"9736fd16bf30e047b764208a284acb5d921d6bc2";"2020-11-26T01:42:42.544Z";2020-11-26 01:42:42
"9736fd16bf30e047b764208a284acb5d921d6bc2";"2020-11-26T01:43:58.985Z";2020-11-26 01:43:58
"9736fd16bf30e047b764208a284acb5d921d6bc2";"2020-11-26T02:51:50.162Z";2020-11-26 02:51:50
"9736fd16bf30e047b764208a284acb5d921d6bc2";"2020-11-26T04:23:07.611Z";2020-11-26 04:23:07
"9736fd16bf30e047b764208a284acb5d921d6bc2";"2020-11-26T04:47:37.406Z";2020-11-26 04:47:37
"9736fd16bf30e047b764208a284acb5d921d6bc2";"2020-11-26T04:56:49.024Z";2020-11-26 04:56:49
"986b7ca95742aa90d2aeb25dff1d6a22d497659e";"2020-11-24T03:31:22.157Z";2020-11-24 03:31:22
"986b7ca95742aa90d2aeb25dff1d6a22d497659e";"2020-11-24T03:31:23.880Z";2020-11-24 03:31:23
"986b7ca95742aa90d2aeb25dff1d6a22d497659e";"2020-11-24T03:31:25.390Z";2020-11-24 03:31:25
"986b7ca95742aa90d2aeb25dff1d6a22d497659e";"2020-11-24T04:09:35.810Z";2020-11-24 04:09:35
"986b7ca95742aa90d2aeb25dff1d6a22d497659e";"2020-11-24T04:17:40.137Z";2020-11-24 04:17:40
"986b7ca95742aa90d2aeb25dff1d6a22d497659e";"2020-11-25T00:47:20.700Z";2020-11-25 00:47:20
"986b7ca95742aa90d2aeb25dff1d6a22d497659e";"2020-11-25T00:47:34.301Z";2020-11-25 00:47:34
"986b7ca95742aa90d2aeb25dff1d6a22d497659e";"2020-11-25T01:35:48.278Z";2020-11-25 01:35:48
"986b7ca95742aa90d2aeb25dff1d6a22d497659e";"2020-11-25T03:05:38.739Z";2020-11-25 03:05:38
"986b7ca95742aa90d2aeb25dff1d6a22d497659e";"2020-11-25T03:05:38.746Z";2020-11-25 03:05:38
"986b7ca95742aa90d2aeb25dff1d6a22d497659e";"2020-11-25T03:05:38.762Z";2020-11-25 03:05:38
"986b7ca95742aa90d2aeb25dff1d6a22d497659e";"2020-11-25T03:34:16.337Z";2020-11-25 03:34:16
"986b7ca95742aa90d2aeb25dff1d6a22d497659e";"2020-11-25T14:27:14.644Z";2020-11-25 14:27:14
