HASH_ID,HW00 Grade,HW01 Grade,HW02 Grade,HW03 Grade,HW04 Grade,HW05 Grade,HW06 Grade,HW07 Grade,HW08 Grade,HW09 Grade,HW Avg,Extensions,HW00 Late Days,HW01 Late Days,HW02 Late Days,HW03 Late Days,HW04 Late Days,HW05 Late Days,HW06 Late Days,HW07 Late Days,HW08 Late Days
96445cce79699a39851a184246b06b24c63497ff,100,94,99,100,100,100,99,100,100,,99.11111111,0,0,0,0,1,0,0,2,0,0
15c790d885b3c3fbf73e766b09fe14cb31b34d63,100,88.5,90.5,93,100,100,78,60,70,,86.66666667,1,0,0,0,0,0,0,2,3,1
de33cbea046c82f21788506f3ed0fa57fa2d7234,100,94,93,88,96,100,98,100,92.6718,,95.74131111,0,0,2,0,1,0,0,2,0,0
93e7a80b207ccc4059daf3a1abba11dfa8c6c23c,100,102,98,100,100,100,100,100,70,,96.66666667,0,0,0,0,0,0,0,1,2,0
0e5e2419246434693bfda4a7c0c42bf8f6a75339,100,100,97,100,98,100,88,98,70,,94.55555556,0,0,0,0,0,0,0,0,0,0
af8848d505a376b4e59386d65856ccdd1ddf1afd,100,100,100,100,100,98,100,60,70,,92,0,0,0,0,0,0,0,2,0,1
347d33b6e5785dc56109485ce720e361d0a4a675,100,86.5,86,80,92,86,39,0,28.8094,,66.47882222,9,0,1,0,1,0,0,0,2,1
4b1bdce4f691e61e6694450ed8852dd984473389,100,88,50,29.5,56.8,24,10,0,0,,39.81111111,0,0,2,1,0,1,0,1,0,0
fe2e08430cd89089761b57c837a57065a1f7c07f,100,98,97,100,100,98,99,60,70,,91.33333333,0,0,0,0,0,0,0,1,0,0
65fadf52b477dfc365a46cb400d773792dcb3341,98,93,98,98,97,95,100,60,70,,89.88888889,0,0,0,0,0,0,0,2,2,1
2e5d899ce757dacb028d693fd162f019e1d137b9,90,86,100,66,100,100,0,16,96.3906,,72.71006667,0,0,2,0,2,0,0,0,1,0
c7aadf4912f25ac6317e98926d87a85c772adc2d,100,93,90,50,52,22,10,71.5,38.8938,,58.59931111,8,0,1,0,10,2,0,0,0,0
d3a589e84b30e55239a8008d6282b647a1e62e92,100,0,0,62,72.4,94,69,88,98,,64.82222222,0,0,0,0,0,0,0,1,0,0
68b0463b34364f614b76a8a97ac7c98b37916506,100,4,83,97,96,90,85,94,62.6718,,79.07464444,0,0,2,0,0,0,0,0,0,0
d5cc740e95c44f2dbaeae9e413a3837747409278,98,97,94,100,95,97,100,100,100,,97.88888889,0,0,0,0,1,0,0,0,0,0
444500e9b1f9ba58a2d0653d8ccdb0cf46debca7,98,99.5,96,100,100,100,80,60,70,,89.27777778,0,0,0,0,0,0,0,2,2,0
b8dd4bb13b8b9d3dacaf062bc30800dbdccecf4b,100,98,100,100,98,100,100,100,98,,99.33333333,0,0,0,0,0,0,0,2,0,0
a4e9bd7a39a4a3fa3ba6fa3d9fcc4226d3d63a46,96,80.5,76,78.5,91,82,80,17,68.25,,74.36111111,0,0,2,0,0,0,0,1,1,0
469ce5ae9862c2ae31c75a1404a8b03af40db5ba,100,98,98,100,100,98,100,93,70,,95.22222222,0,0,0,0,0,0,0,0,0,0
2e26f875a0ef7b1f5682286d9dd0543997d7c42c,100,100,94,100,99,100,96,98,100,,98.55555556,0,0,0,0,0,0,0,0,0,0
d148af6f7dbcd9232375295c6a1cd1b08e885dd5,100,54,95.5,73,92,100,10,34,28.7,,65.24444444,7,0,0,1,2,0,1,8,2,0
8b25c7b3a77c29e1c3d4b80e6d0d846ad2d491f1,100,94,87,98,100,100,95,100,98,,96.88888889,0,0,0,0,0,0,0,0,0,0
62c9c37ab7a39714cac0dde9affe3bd38751d13a,100,93,98,98,100,100,97,100,70,,95.11111111,0,0,0,0,0,0,0,2,2,1
b0562a7e84830696ceb1f739f48ce79230064a56,100,102,95,100,98,98,98,100,96.2812,,98.5868,0,0,0,0,0,0,0,2,0,1
5bd06d8ef939a24e4be9a8a295565db039cfb173,100,90.5,89,63,99,100,81,100,88.9532,,90.16146667,0,0,0,0,1,0,0,1,0,0
27f00efeac6eafc4281f76529fd10d11c1827f52,100,88,61,0,0,0,0,0,0,,27.66666667,0,0,1,0,0,0,0,0,0,0
270e0b07846ed7becbdb27ff75dffe53de21d3e0,100,99,99,98,94,100,97,94,70,,94.55555556,0,0,0,0,0,0,0,1,1,0
15b943b08735673bf26c83a3211e0dcdbe4014e0,100,87,64,71.5,95,93,61,22,53.375,,71.875,0,0,0,1,1,0,0,1,1,0
343ccf52c9595fbe9cbe44606f9d7903307e24a3,100,81,98,90,100,100,98,92,62.3218,,91.25797778,0,0,0,0,0,0,0,2,1,2
c061d1f68b6b074424d6fdebae21d15b25686750,100,78,88,95.5,0,0,0,0,0,,40.16666667,0,0,0,0,0,0,0,0,0,0
198314c2ae4294f0607d2c85c1e50817f69c6613,98,98,94,98,98,96,94,100,100,,97.33333333,0,0,0,0,0,0,0,0,0,0
26455cd1ecb5229a5e1d69f5c4c845da30ed54c9,100,93,92,100,97,100,97,98,70,,94.11111111,0,0,0,0,1,0,0,0,0,0
24d8a641417c3d9b096f69b4afc2f647c5dc1265,100,94,85,102,100,100,98,60,70,,89.88888889,1,0,0,0,0,0,0,1,1,1
2c22b20e671dbf5ab6f9c84da21690f72cbed8ef,100,84,97,98,98,96,93,60,94,,91.11111111,0,0,0,0,1,0,0,1,2,1
683d30cf12add9df08c8250cfd9b8153ff0acd3e,100,71,86,93.5,98,90,43,94,70,,82.83333333,5,0,0,0,0,0,0,7,0,0
ba3b42be44a09ab0db64b811784be57512ecf985,100,95,93,96,100,100,97,60,70,,90.11111111,0,0,0,0,0,0,0,1,0,0
1a676b4c17bf88842f0bb342f6a115f5bf3abba9,100,90,98,100,100,98,97,60,70,,90.33333333,0,0,0,0,0,0,0,0,2,0
fee49cbc8cf946fadb723614b8caafb24a1c6d48,100,90,97,98,97,100,95,100,70,,94.11111111,0,0,0,0,0,0,0,1,0,0
250f90922642dce6892783fe11a3cbaf5e917cb1,100,91,99,100,96,100,100,100,100,,98.44444444,0,0,0,0,0,0,0,0,0,0
5be9cd1cda5d6b1980de1fd652ef4229e3eb8577,100,95,94,100,93,100,99,94,100,,97.22222222,0,0,0,0,0,0,0,1,1,0
5e2ba60bf6ae614bec98f4bde693868ba49a559e,100,94,79,100,98,100,100,92,70,,92.55555556,0,0,0,0,0,0,0,2,1,0
c2a32a9dd1f7c70f0249589f590c01385948a7b4,100,96,72,100,75,82,78,98,70,,85.66666667,0,0,0,1,0,0,0,2,0,0
66e8f980b419372422e7a90d1913393cfbc8808a,80,94.5,95.5,45.5,0,0,0,0,0,,35.05555556,0,0,0,0,0,0,0,0,0,0
39f90f24f85a2f93c9d839d03aba91f924f421b8,98,38,45,0,0,0,0,0,0,,20.11111111,0,0,1,0,0,0,0,0,0,0
f789e70e136b898f3580af7fe3fc63c5b741991b,100,86,85,100,98,100,97,100,100,,96.22222222,0,0,0,0,0,0,0,0,0,0
e96d3fb323ad61d729908a2127e163ff6dda2443,100,97,95.5,99,97,100,93,100,70,,94.61111111,0,0,0,0,0,0,0,0,2,0
542af3c2f80579d059d762834b7c212e25ee3e33,100,92,85,97,92,95,98,94,70,,91.44444444,0,0,0,0,0,0,0,1,0,0
86a8bdb0a8c9676a3c2341b787d4c693856791e1,100,96,99,102,100,98,100,60,70,,91.66666667,0,0,0,0,0,0,0,0,0,0
